##### SOL OUTFITS #####
# See 'outfit notes.txt' for index and sort methods
#
#	[118] Sol
#		[00] Reactors
#			[1] Codex Corp
	"display name" "TRS-T Tactical Scanner"
	category "Systems"
	series "Scanners"
	index 11886230
	cost 144000
	thumbnail "outfit/_wip_scanner"
	"mass" 2
	"outfit space" -4
	"tactical scan power" 32
	description "In an unprecedented feat in human history, the outpost on Lepo had managed to produce their own outfit. This lightweight tactical scanner allows your ship to determine internal statistics of a target, such as fuel, energy, heat, and crew. The outpost in Lepo uses it to study and assist ships several systems from Sol, though a less savory captain could use it for less wholesome purposes."

outfit "KW.TRS-M Multi Scanner"
	"display name" "TRS-M Multi Scanner"
	category "Systems"
	series "Scanners"
	index 11886240
	cost 122500
	thumbnail "outfit/_wip_scanner"
	"mass" 7
	"outfit space" -7
	"outfit scan power" 16
	"outfit scan efficiency" 20
	"cargo scan power" 4
	"cargo scan efficiency" 10
	"atmosphere scan" 100
	"tactical scan power" 7
	description "This scanner was the birthchild of Traverser Systems and the Institute of Robotics and Cybernetics (InsARC) in joint development of a multipurpose remote scanner. This device targets other ships, so asteroids are not part of the scan criteria."

#		[90] Refits
#			[0] Generic
outfit "KW.Cargo Refit"
	"display name" "Cargo Refit"
	category "Systems"
	series "Expansions"
	index 11890000
	cost 50000
	thumbnail "outfit/_wip_cargo"
	"mass" 5
	"cargo space" 30
	"outfit space" -30
	hull -50
	"hull multiplier" 0.95
	"unplunderable" 1
	description "Reallocates a section of the ship for cargo storage. Cargo space are well ventilated, but reduces the structural integrity of the ship. Use with caution."

outfit "KW.Outfit Refit"
	"display name" "Outfit Refit"
	category "Systems"
	series "Expansions"
	index 11890010
	cost 50000
	#thumbnail "outfit/_wip_cargo-"
	"mass" 5
	"cargo space" -30
	"outfit space" 20
	"heat dissipation" -.0065
	"unplunderable" 1
	description "Reallocates a section of the ship for active outfit equipment. Outfit space requires internal ventilation, and interferes with the existing thermal flow of the ship."

outfit "KW.Space Bunk"
	"display name" "Space Bunk"
	category "Systems"
	series "Expansions"
	index 11890020
	cost 50000
	#thumbnail "outfit/_wip_cargo-"
	"mass" 5
	"bunks" 4
	"outfit space" -30
	"unplunderable" 1
	description "Reallocates a section of the ship for living space. Living quarters do not require as much structural change as other refit options, but due to the plumbing required, they are less efficient use of space."

outfit "KW.Hull Reinforcememt"
	"display name" "Hull Reinforcememt"
	category "Systems"
	series "Expansions"
	index 11890030
	cost 100000
	#thumbnail "outfit/cargo expansion"
	"mass" 25
	"cargo space" -10
	"outfit space" -10
	"heat dissipation" -.0025
	hull 150
	"hull multiplier" 1.05
	"hull protection" 0.05
	"corrosion protection" 0.1
	"heat protection" -0.05
	"burn protection" -0.1
	"unplunderable" 1
	description "Sacrifices some internal space and fills them with reinforced materials, essentially serving as an armor belt. Closing off a ship's internal space will have repercussions on the ship's internal heat management system."

outfit "KW.Faraday Reinforcement"
	"display name" "Faraday Reinforcememt"
	category "Systems"
	series "Expansions"
	index 11890040
	cost 100000
	#thumbnail "outfit/cargo expansion"
	"mass" 15
	"cargo space" -10
	"outfit space" -10
	"heat dissipation" -.0025
	"ion protection" 0.05
	"discharge protection" 0.1
	"hull protection" -0.05
	"corrosion protection" -0.1
	"unplunderable" 1
	description "Sacrifices some internal space and fills them with conductive meshes, essentially serving as an electronic shield. Transforming a ship's internal space into a porous membrane will have repercussions on the ship's hull integrity."

#outfit "KW.Cargo Expansion Module"
#	"display name" "Cargo Expansion Module"
#	category "Systems"
#	series "Expansions"
#	#index 10
#	cost 50000
#	thumbnail "outfit/cargo expansion"
#	"mass" 5
#	"cargo space" 50
#	"hull protection" -0.1
#	"expansion module" -1
#	"unplunderable" 1
#	description "The "


# Specials

outfit "KW.Sol Map"
	"display name" "Sol Map"
	category "Special"
	index 11899900
	cost 5000
	thumbnail "outfit/map"
	"map" 8
	"map minables" 1
	description "It is a dream that a ship captain can traverse several metropolitan systems in a row. Until then, space travel in the wild is not for the navigationally-challenged. A star map can be the difference between reaching home or being stranded without fuel. The star map is also marked with essential information such as: notable planets, ports, governments, trades and services, for those who wish to save the effort of making a personal survey themselves."

#Licences

outfit "KW.Codex Licence"
	"display name" "Codex Licence"
	category "Licenses"
	series "Licenses"
	#index 01010
	#cost 50000
	thumbnail "outfit/license"
	description ""


